"","name","address_admin","APN","url","zip","county","city","y","x"
"127","Texas Troubadour Theatre","2416 MUSIC VALLEY DR","06200023300","http://www.texastroubadourtheatre.com/phone/index.html",37214,"Davidson","Nashville",36.2193629960737,-86.6971097730653
"128","The 5 Spot","1006 FORREST AVE","08309013000","https://the5spot.club/",37206,"Davidson","Nashville",36.1782850846992,-86.7503970661217
"129","The Basement East","1604 8TH AVE S","10506019900","https://www.thebasementnashville.com/",37203,"Davidson","Nashville",36.1370552377897,-86.7783603424595
"130","The Bowery Vault","2905 GALLATIN PIKE","07210001400","http://www.theboweryvault.com/",37216,"Davidson","Nashville",36.2028267399815,-86.7393782987065
"131","The Bridge (Renaissance Nashville Hotel)","611 COMMERCE ST","09306311900","https://www.marriott.com/en-us/hotels/bnash-renaissance-nashville-hotel/dining/",37203,"Davidson","Nashville",36.1607643782364,-86.7811421947112
"132","The Cobra","2511 GALLATIN AVE","07213009300","https://cobranashville.com/shows/",37206,"Davidson","Nashville",36.1955792228637,-86.7432467467452
"133","The Countrypolitan Bar & Kitchen (inside Hotel Indigo)","301 UNION ST","09302315200","countrypolitanhotel.com",37201,"Davidson","Nashville",36.1653572142197,-86.778757423565
"134","The Cowan","500 COWAN ST","08210006200","https://topgolf.com/us/nashville/",37207,"Davidson","Nashville",36.1786576976641,-86.7777711471362
"135","The District Bar & Kitchen (Hotel Indigo Downtown)","315 UNION ST","09302315100","https://nashvilledowntown.com/go/the-district-bar-and-kitchen",37201,"Davidson","Nashville",36.1651646911003,-86.778957659415
"136","The Donelson Pub","945 ALLEN RD","09613015301","https://www.facebook.com/worldfamousdonelsonpub/",37214,"Davidson","Nashville",36.1503152686151,-86.6657500404843
"137","The East Room","2412 GALLATIN AVE","07213039000","https://www.theeastroomnashville.com/",37206,"Davidson","Nashville",36.1945058669997,-86.742978431938
"138","The Eighth Room","2106 8TH AVE S","10510029900","https://www.eighthroom.com/",37204,"Davidson","Nashville",36.1318899357745,-86.778606479564
"139","The End","2219 ELLISTON PL","09215017100","https://endnashville.com/",37203,"Davidson","Nashville",36.1511421585056,-86.8038906255904
"140","The Fisher Center for the Performing Arts","2020 BELMONT BLVD","10416041400","https://www.thefishercenter.com/",37212,"Davidson","Nashville",36.1310575335517,-86.7951344141644
"141","The Gibson Garage","209 10TH AVE S","09309032000","https://www.gibson.com/en-US/garage",37203,"Davidson","Nashville",36.1551063591957,-86.7825688983274
"142","The Hampton Social","201 1ST AVE S","093064C00100CO","https://www.thehamptonsocial.com/nashville",NA,"","",36.1597354234692,-86.7730725579049
"143","The Lipstick Lounge","1400 WOODLAND ST","08309041700","http://www.thelipsticklounge.com/",37206,"Davidson","Nashville",36.1767610762683,-86.7457151246203
"144","The Listening Room","618 4TH AVE S","09311024500","https://www.listeningroomcafe.com/nashville",37210,"Davidson","Nashville",36.1538170464579,-86.7721605671881
"145","The Local Distro","614 GARFIELD ST","08108041400","https://www.facebook.com/TheLocalDistroTN/",37208,"Davidson","Nashville",36.181432093184,-86.7950046326403
"146","The Local Nashville","110 28TH AVE N","10403000500","https://localnash.com/",37203,"Davidson","Nashville",36.1459148461944,-86.8126243584318
"147","The Office Nashville","604 GALLATIN AVE","08305012900","No website available",37206,"Davidson","Nashville",36.1828847673678,-86.7491482631453
"148","The Parthenon","2500 WEST END AVE","09214007600","https://www.nashvilleparthenon.com/events",37203,"Davidson","Nashville",36.1494376021062,-86.8129354989031
"149","The Row Kitchen & Pub","110 LYLE AVE","09216013400","https://www.therownashville.com/",37203,"Davidson","Nashville",36.1513555689519,-86.7977197875134
"150","The Rum Room","2116 MEHARRY BLVD","09203005800","https://www.riddimnspice.com/riddimnspice-com-therumroom",37208,"Davidson","Nashville",36.168040876761,-86.8106219178832
"151","The Second Fiddle","420 BROADWAY","09306307400","https://www.thesecondfiddle.com/",37203,"Davidson","Nashville",36.1609442321853,-86.7782059231969
"152","The Stage on Broadway","412 BROADWAY","09306307800","https://www.thestageonbroadway.com/",37203,"Davidson","Nashville",36.1610726924692,-86.7779118808386
"153","The Station Inn","402 12TH AVE S","09313058100","https://stationinn.com/",37203,"Davidson","Nashville",36.1525861232894,-86.7844400713344
"154","The Stillery (Downtown)","113 2ND AVE N","09306204900","https://www.thestillery.com/",37201,"Davidson","Nashville",36.1622369937802,-86.7757011894373
"155","The Underdog","3208 GALLATIN PIKE","07206023800","No Website",37216,"Davidson","Nashville",36.2066034914994,-86.7355756847785
"156","The Valentine","312 BROADWAY","09306400500","https://thevalentinenashville.com/",37201,"Davidson","Nashville",36.161487691148,-86.7767722661479
"157","The Vinyl Lounge","1414 3RD AVE S","10507043500","https://www.thevinyloungenashville.com/",37210,"Davidson","Nashville",36.1413012169663,-86.762683546987
"158","Thirsty Turtle Sports Grill","1307 BELL RD","16200029000","https://www.thirstyturtleonline.com/",NA,"","Antioch",36.0468939031077,-86.6746602427884
"159","Tin Roof Broadway","316 BROADWAY","09306201200","https://tinroofbroadway.com/",37201,"Davidson","Nashville",36.1615584203417,-86.7768999696832
"160","Tootsie's Orchid Lounge","422 BROADWAY","09306307300","https://tootsies.net/",37203,"Davidson","Nashville",36.1609099825001,-86.7782858213292
"161","Tootsie's Orchid Lounge (Nashville Intl. Airport)","1 TERMINAL DR","10700005000","https://tootsies.net/",37214,"Davidson","Nashville",36.1272169186737,-86.6802175210344
"162","Top Golf","500 COWAN ST","08210006200","https://topgolf.com/us/nashville/",37207,"Davidson","Nashville",36.1786576976641,-86.7777711471362
"163","Tribe","1515 CHURCH ST","09212036400","https://www.tribenashville.com/",37203,"Davidson","Nashville",36.1567776701249,-86.793183416679
"164","TRUE Music Room and Bar (Cambria Hotel & Suites)","118 8TH AVE S","09310048900","https://www.cambrianashville.com/",37203,"Davidson","Nashville",36.1577317304799,-86.7809518863178
"165","Twin Kegs II","327 HERMITAGE AVE","09413005100","http://www.twinkegs.com/",37210,"Davidson","Nashville",36.1534505096648,-86.7482428280037
"166","Urban Cowboy Public House Bar","1603 WOODLAND ST","08310018500","https://www.urbancowboy.com/nashville/events/",37206,"Davidson","Nashville",36.1771610396994,-86.7416052965374
"167","Van Gogh's Ear Wine Bar","1112 WOODLAND ST","08309017500","https://www.facebook.com/people/Van-Goghs-Ear/100069552334154/?ref=py_c",37206,"Davidson","Nashville",36.1770399208791,-86.7486941301736
"168","Vinyl Tap","2038 GREENWOOD AVE","08303006400","http://www.vinyltapnashville.com/",37206,"Davidson","Nashville",36.1885025419109,-86.7295953266457
"169","WannaB's Karaoke Bar","305 BROADWAY","09306402600","https://tequilacowboy.com/Nashville/wannabs/",37201,"Davidson","Nashville",36.1612463806724,-86.7760994756584
"170","War Memorial Auditorium","301 6TH AVE N","09301008100","https://cart.tpac.org/events?k=WarMemorial",37243,"Davidson","Nashville",36.1644895542079,-86.7831345291273
"171","Whiskey Bent Saloon","306 BROADWAY","09306202700","https://www.whiskeybentsaloon.com/",37201,"Davidson","Nashville",36.1616537692582,-86.7764930604171
